InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001414,S13002535,S12000006,S16000114,S03000005,S08000017
S02001415,S13002536,S12000006,S16000114,S03000005,S08000017
S02001416,S13002537,S12000006,S16000114,S03000005,S08000017
S02001417,S13002536,S12000006,S16000114,S03000005,S08000017
S02001418,S13002536,S12000006,S16000114,S03000005,S08000017
S02001419,S13002539,S12000006,S16000097,S03000005,S08000017
S02001420,S13002539,S12000006,S16000097,S03000005,S08000017
S02001421,S13002540,S12000006,S16000097,S03000005,S08000017
S02001422,S13002538,S12000006,S16000114,S03000005,S08000017
S02001423,S13002538,S12000006,S16000114,S03000005,S08000017
S02001424,S13002538,S12000006,S16000114,S03000005,S08000017
S02001425,S13002537,S12000006,S16000114,S03000005,S08000017
S02001426,S13002537,S12000006,S16000114,S03000005,S08000017
S02001427,S13002541,S12000006,S16000097,S03000005,S08000017
S02001428,S13002541,S12000006,S16000097,S03000005,S08000017
S02001429,S13002541,S12000006,S16000097,S03000005,S08000017
S02001430,S13002541,S12000006,S16000097,S03000005,S08000017
S02001431,S13002540,S12000006,S16000097,S03000005,S08000017
S02001432,S13002540,S12000006,S16000097,S03000005,S08000017
S02001433,S13002540,S12000006,S16000097,S03000005,S08000017
S02001434,S13002540,S12000006,S16000097,S03000005,S08000017
S02001435,S13002543,S12000006,S16000097,S03000005,S08000017
S02001436,S13002543,S12000006,S16000097,S03000005,S08000017
S02001437,S13002543,S12000006,S16000097,S03000005,S08000017
S02001438,S13002544,S12000006,S16000097,S03000005,S08000017
S02001439,S13002544,S12000006,S16000097,S03000005,S08000017
S02001440,S13002542,S12000006,S16000097,S03000005,S08000017
S02001441,S13002542,S12000006,S16000097,S03000005,S08000017
S02001442,S13002542,S12000006,S16000097,S03000005,S08000017
S02001443,S13002542,S12000006,S16000097,S03000005,S08000017
S02001444,S13002544,S12000006,S16000097,S03000005,S08000017
S02001445,S13002547,S12000042,S16000099,S03000039,S08000027
S02001446,S13002547,S12000042,S16000099,S03000039,S08000027
S02001447,S13002547,S12000042,S16000099,S03000039,S08000027
S02001448,S13002548,S12000042,S16000099,S03000039,S08000027
S02001449,S13002549,S12000042,S16000099,S03000039,S08000027
S02001450,S13002548,S12000042,S16000098,S03000039,S08000027
S02001451,S13002548,S12000042,S16000098,S03000039,S08000027
S02001452,S13002549,S12000042,S16000098,S03000039,S08000027
S02001453,S13002549,S12000042,S16000098,S03000039,S08000027
S02001454,S13002551,S12000042,S16000098,S03000039,S08000027
S02001455,S13002551,S12000042,S16000098,S03000039,S08000027
S02001456,S13002552,S12000042,S16000098,S03000039,S08000027
S02001457,S13002551,S12000042,S16000098,S03000039,S08000027
S02001458,S13002552,S12000042,S16000098,S03000039,S08000027
S02001459,S13002552,S12000042,S16000098,S03000039,S08000027
S02001460,S13002552,S12000042,S16000098,S03000039,S08000027
S02001461,S13002552,S12000042,S16000098,S03000039,S08000027
S02001462,S13002830,S12000042,S16000098,S03000039,S08000027
S02001463,S13002830,S12000042,S16000098,S03000039,S08000027
S02001464,S13002551,S12000042,S16000098,S03000039,S08000027
S02001465,S13002545,S12000042,S16000099,S03000039,S08000027
S02001466,S13002545,S12000042,S16000099,S03000039,S08000027
S02001467,S13002545,S12000042,S16000099,S03000039,S08000027
S02001468,S13002548,S12000042,S16000099,S03000039,S08000027
S02001469,S13002548,S12000042,S16000099,S03000039,S08000027
S02001470,S13002546,S12000042,S16000099,S03000039,S08000027
S02001471,S13002546,S12000042,S16000099,S03000039,S08000027
S02001472,S13002546,S12000042,S16000099,S03000039,S08000027
S02001473,S13002546,S12000042,S16000099,S03000039,S08000027
S02001474,S13002545,S12000042,S16000099,S03000039,S08000027
S02001475,S13002546,S12000042,S16000099,S03000039,S08000027
S02001476,S13002561,S12000008,S16000087,S03000001,S08000015
S02001477,S13002561,S12000008,S16000087,S03000001,S08000015
S02001478,S13002559,S12000008,S16000087,S03000001,S08000015
S02001479,S13002561,S12000008,S16000087,S03000001,S08000015
S02001480,S13002559,S12000008,S16000087,S03000001,S08000015
S02001481,S13002559,S12000008,S16000087,S03000001,S08000015
