"Table 11: Numbers and crude rates1 of deaths involving COVID-19, by Intermediate Zone, between 1st March 2020 and 31st August 20202",,,,,,,,,,,,,
,,,,,,,,,,,,,
Intermediate Zone code,Name of Intermediate Zone,Local Authority,Number of Deaths,Population (2019 based),"rate per 100,000 population",,,,,,,,
S02001926,"Roystonhill, Blochairn, and Provanmill",Glasgow City,5,"6,023",83.0,,,,,,,,
S02001927,Dennistoun North,Glasgow City,7,"4,707",148.7,,,,,,,,
S02001928,Alexandra Parade,Glasgow City,1,"2,695",37.1,,,,,,,,
S02001929,Carntyne West and Haghill,Glasgow City,1,"4,771",21.0,,,,,,,,
S02001930,Dennistoun,Glasgow City,2,"4,454",44.9,,,,,,,,
S02001931,Gallowgate North and Bellgrove,Glasgow City,5,"6,354",78.7,,,,,,,,
S02001932,City Centre East,Glasgow City,4,"10,486",38.1,,,,,,,,
S02001933,City Centre West,Glasgow City,6,"5,676",105.7,,,,,,,,
S02001934,City Centre South,Glasgow City,0,"3,945",0.0,,,,,,,,
S02001935,Anderston,Glasgow City,0,"5,577",0.0,,,,,,,,
S02001936,Finnieston and Kelvinhaugh,Glasgow City,2,"10,513",19.0,,,,,,,,
S02001937,Woodlands,Glasgow City,3,"7,387",40.6,,,,,,,,
S02001938,Woodside,Glasgow City,11,"3,569",308.2,,,,,,,,
S02001939,Firhill,Glasgow City,2,"6,415",31.2,,,,,,,,
S02001940,Keppochhill,Glasgow City,5,"4,894",102.2,,,,,,,,
S02001941,Ruchill,Glasgow City,12,"7,402",162.1,,,,,,,,
S02001942,Possil Park,Glasgow City,19,"6,123",310.3,,,,,,,,
S02001943,Milton West,Glasgow City,1,"4,275",23.4,,,,,,,,
S02001944,Milton East,Glasgow City,9,"3,185",282.6,,,,,,,,
S02001945,Summerston Central and West,Glasgow City,1,"4,481",22.3,,,,,,,,
S02001946,Summerston North,Glasgow City,0,"3,445",0.0,,,,,,,,
S02001947,Maryhill East,Glasgow City,1,"3,448",29.0,,,,,,,,
S02001948,Maryhill West,Glasgow City,3,"3,064",97.9,,,,,,,,
S02001949,Wyndford,Glasgow City,1,"4,306",23.2,,,,,,,,
S02001950,Kelvindale,Glasgow City,5,"6,166",81.1,,,,,,,,
S02001951,North Kelvin,Glasgow City,0,"4,187",0.0,,,,,,,,
S02001952,Kelvingrove and University,Glasgow City,3,"6,546",45.8,,,,,,,,
S02001953,Hillhead,Glasgow City,6,"8,319",72.1,,,,,,,,
S02001954,Glasgow Harbour and Partick South,Glasgow City,2,"5,311",37.7,,,,,,,,
S02001955,Partick,Glasgow City,0,"4,024",0.0,,,,,,,,
S02001956,Partickhill and Hyndland,Glasgow City,0,"5,803",0.0,,,,,,,,
S02001957,Dowanhill,Glasgow City,3,"4,589",65.4,,,,,,,,
S02001958,Kelvinside and Jordanhill,Glasgow City,5,"5,717",87.5,,,,,,,,
S02001959,Broomhill,Glasgow City,2,"4,639",43.1,,,,,,,,
S02001960,Victoria Park,Glasgow City,3,"2,705",110.9,,,,,,,,
S02001961,Whiteinch,Glasgow City,4,"3,742",106.9,,,,,,,,
S02001962,Scotstoun North and East,Glasgow City,4,"4,595",87.1,,,,,,,,
S02001963,Scotstoun South and West,Glasgow City,1,"3,637",27.5,,,,,,,,
S02001964,Yoker South,Glasgow City,4,"4,856",82.4,,,,,,,,
S02001965,Yoker North,Glasgow City,11,"2,970",370.4,,,,,,,,
S02001966,Knightswood West,Glasgow City,2,"2,551",78.4,,,,,,,,
S02001967,Knightswood East,Glasgow City,3,"3,921",76.5,,,,,,,,
S02001968,Knightswood Park West,Glasgow City,1,"3,354",29.8,,,,,,,,
S02001969,Knightswood Park East,Glasgow City,5,"3,870",129.2,,,,,,,,
S02001970,Anniesland East,Glasgow City,2,"4,242",47.1,,,,,,,,
S02001971,Anniesland West,Glasgow City,13,"6,681",194.6,,,,,,,,
S02001972,Blairdardie East,Glasgow City,3,"5,485",54.7,,,,,,,,
S02001973,Blairdardie West,Glasgow City,0,"2,975",0.0,,,,,,,,
S02001974,Drumchapel South,Glasgow City,20,"2,542",786.8,,,,,,,,
S02001975,Drumchapel North,Glasgow City,2,"3,354",59.6,,,,,,,,
S02001976,Drumry East,Glasgow City,4,"3,317",120.6,,,,,,,,
S02001977,Drumry West,Glasgow City,1,"3,542",28.2,,,,,,,,
S02001978,Lochaber West,Highland,0,"4,809",0.0,,,,,,,,
S02001979,Fort William North,Highland,0,"4,577",0.0,,,,,,,,
S02001980,Fort William South,Highland,0,"5,658",0.0,,,,,,,,
S02001981,Lochaber East and North,Highland,1,"4,761",21.0,,,,,,,,
S02001982,Badenoch and Strathspey South,Highland,0,"3,875",0.0,,,,,,,,
S02001983,Badenoch and Strathspey Central,Highland,0,"5,315",0.0,,,,,,,,
S02001984,Badenoch and Strathspey North,Highland,2,"4,795",41.7,,,,,,,,
S02001985,Nairn Rural,Highland,0,"5,013",0.0,,,,,,,,
S02001986,Nairn East,Highland,2,"4,031",49.6,,,,,,,,
S02001987,Nairn West,Highland,2,"4,463",44.8,,,,,,,,
S02001988,Inverness East Rural,Highland,1,"5,594",17.9,,,,,,,,
S02001989,Inverness Culloden and Balloch,Highland,2,"3,943",50.7,,,,,,,,
S02001990,Inverness Smithton,Highland,0,"3,045",0.0,,,,,,,,
S02001991,Inverness Westhill,Highland,1,"6,145",16.3,,,,,,,,
S02001992,Inverness Inshes,Highland,0,"5,706",0.0,,,,,,,,
S02001993,Inverness Slackbuie,Highland,1,"3,639",27.5,,,,,,,,
S02001994,Inverness Lochardil and Holm Mains,Highland,0,"5,336",0.0,,,,,,,,
S02001995,Inverness Drummond,Highland,0,"3,473",0.0,,,,,,,,
S02001996,Inverness Hilton,Highland,0,"3,793",0.0,,,,,,,,
S02001997,Inverness Drakies,Highland,0,"2,299",0.0,,,,,,,,
S02001998,"Inverness Central, Raigmore and Longman",Highland,2,"4,016",49.8,,,,,,,,
S02001999,Inverness Crown and Haugh,Highland,2,"4,454",44.9,,,,,,,,
S02002000,Inverness Ballifeary and Dalneigh,Highland,3,"4,387",68.4,,,,,,,,
S02002001,Inverness Muirtown,Highland,4,"3,745",106.8,,,,,,,,
S02002002,Inverness Merkinch,Highland,0,"3,448",0.0,,,,,,,,
S02002003,Inverness Scorguie,Highland,4,"2,913",137.3,,,,,,,,
S02002004,Inverness Kinmylies and South West,Highland,1,"4,093",24.4,,,,,,,,
S02002005,Inverness West Rural,Highland,0,"6,801",0.0,,,,,,,,
S02002006,Loch Ness,Highland,0,"4,626",0.0,,,,,,,,
S02002007,Lochalsh,Highland,0,"2,659",0.0,,,,,,,,
S02002008,Skye South,Highland,1,"3,606",27.7,,,,,,,,
S02002009,Skye North East,Highland,11,"3,574",307.8,,,,,,,,
S02002010,Skye North West,Highland,0,"3,411",0.0,,,,,,,,
S02002011,Ross and Cromarty South West,Highland,0,"3,017",0.0,,,,,,,,
S02002012,Ross and Cromarty North West,Highland,0,"3,259",0.0,,,,,,,,
S02002013,Ross and Cromarty Central,Highland,0,"3,713",0.0,,,,,,,,
S02002014,Ross and Cromarty East,Highland,1,"3,265",30.6,,,,,,,,
S02002015,Muir of Ord,Highland,1,"3,558",28.1,,,,,,,,
S02002016,Conon,Highland,0,"3,858",0.0,,,,,,,,
S02002017,Dingwall,Highland,0,"5,347",0.0,,,,,,,,
S02002018,Black Isle South,Highland,1,"6,945",14.4,,,,,,,,
S02002019,Black Isle North,Highland,0,"3,599",0.0,,,,,,,,
S02002020,Alness,Highland,0,"5,904",0.0,,,,,,,,
S02002021,Invergordon,Highland,0,"4,416",0.0,,,,,,,,
S02002022,Seaboard,Highland,0,"4,389",0.0,,,,,,,,
S02002023,Tain,Highland,1,"3,691",27.1,,,,,,,,
S02002024,Sutherland South,Highland,0,"6,151",0.0,,,,,,,,
S02002025,Sutherland East,Highland,0,"4,095",0.0,,,,,,,,
S02002026,Caithness South,Highland,1,"2,956",33.8,,,,,,,,
S02002027,Wick South,Highland,1,"3,423",29.2,,,,,,,,
S02002028,Wick North,Highland,2,"3,220",62.1,,,,,,,,
S02002029,Caithness North East,Highland,0,"3,533",0.0,,,,,,,,
S02002030,Caithness North West,Highland,1,"4,980",20.1,,,,,,,,
S02002031,Thurso East,Highland,1,"2,614",38.3,,,,,,,,
S02002032,Thurso West,Highland,0,"4,634",0.0,,,,,,,,
S02002033,Sutherland North and West,Highland,1,"3,260",30.7,,,,,,,,
S02002034,Kilmacolm Central,Inverclyde,2,"2,551",78.4,,,,,,,,
S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,5,"3,188",156.8,,,,,,,,
S02002036,Inverkip and Wemyss Bay,Inverclyde,5,"6,038",82.8,,,,,,,,
S02002037,"West Braeside, East Inverkip and West Gourock",Inverclyde,2,"2,982",67.1,,,,,,,,
S02002038,Gourock Upper and West Central and Upper Larkfield,Inverclyde,7,"4,151",168.6,,,,,,,,
S02002039,"Gourock Central, Upper East and IRH",Inverclyde,4,"3,913",102.2,,,,,,,,
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,12,"6,240",192.3,,,,,,,,
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",Inverclyde,10,"4,583",218.2,,,,,,,,
S02002042,"Gourock East, Greenock West and Lyle Road",Inverclyde,18,"4,945",364.0,,,,,,,,
S02002043,Greenock West and Central,Inverclyde,6,"5,409",110.9,,,,,,,,
S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",Inverclyde,7,"4,048",172.9,,,,,,,,
S02002045,Greenock Upper Central,Inverclyde,4,"3,741",106.9,,,,,,,,
S02002046,Greenock Town Centre and East Central,Inverclyde,20,"4,907",407.6,,,,,,,,
S02002047,Greenock East,Inverclyde,9,"6,533",137.8,,,,,,,,
S02002048,"Port Glasgow Upper, West and Central",Inverclyde,6,"5,415",110.8,,,,,,,,
S02002049,"Port Glasgow Mid, East and Central",Inverclyde,2,"4,453",44.9,,,,,,,,
S02002050,Port Glasgow Upper East,Inverclyde,2,"4,703",42.5,,,,,,,,
S02002051,Rural South Midlothian,Midlothian,4,"3,630",110.2,,,,,,,,
S02002052,Penicuik Southeast,Midlothian,6,"3,775",158.9,,,,,,,,
S02002053,Penicuik Southwest,Midlothian,4,"3,722",107.5,,,,,,,,
S02002054,Penicuik East,Midlothian,2,"2,777",72.0,,,,,,,,
S02002055,Penicuik North,Midlothian,0,"3,490",0.0,,,,,,,,
S02002056,Pentland,Midlothian,0,"3,280",0.0,,,,,,,,
S02002057,Roslin and Bilston,Midlothian,1,"3,333",30.0,,,,,,,,
S02002058,Straiton,Midlothian,2,"2,483",80.5,,,,,,,,
S02002059,Loanhead,Midlothian,2,"3,851",51.9,,,,,,,,
S02002060,Bonnyrigg South,Midlothian,14,"4,746",295.0,,,,,,,,
S02002061,Bonnyrigg North,Midlothian,24,"5,652",424.6,,,,,,,,
S02002062,Newbattle and Dalhousie,Midlothian,1,"8,635",11.6,,,,,,,,
S02002063,Eskbank,Midlothian,23,"4,898",469.6,,,,,,,,
S02002064,Shawfair,Midlothian,3,"4,568",65.7,,,,,,,,
S02002065,Thornybank,Midlothian,3,"4,457",67.3,,,,,,,,
S02002066,Dalkeith,Midlothian,3,"2,903",103.3,,,,,,,,
S02002067,Pathhead and Rural East Midlothian,Midlothian,5,"7,690",65.0,,,,,,,,
S02002068,Easthouses,Midlothian,2,"3,040",65.8,,,,,,,,
S02002069,Mayfield,Midlothian,2,"4,576",43.7,,,,,,,,
S02002070,Newtongrange,Midlothian,2,"4,197",47.7,,,,,,,,
S02002071,North Gorebridge,Midlothian,1,"3,159",31.7,,,,,,,,
S02002072,Gorebridge and Middleton,Midlothian,17,"3,598",472.5,,,,,,,,
S02002073,South Speyside and the Cabrach,Moray,2,"4,160",48.1,,,,,,,,
S02002074,North Speyside,Moray,0,"3,636",0.0,,,,,,,,
S02002075,Rural Keith and Strathisla,Moray,0,"3,120",0.0,,,,,,,,
S02002076,Keith and Fife Keith,Moray,1,"4,527",22.1,,,,,,,,
S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",Moray,2,"5,653",35.4,,,,,,,,
S02002078,Buckie Central East,Moray,3,"3,391",88.5,,,,,,,,
S02002079,Buckie West and Mains of Buckie,Moray,0,"4,905",0.0,,,,,,,,
S02002080,"Mosstodloch, Portgordon and seaward",Moray,3,"3,503",85.6,,,,,,,,
S02002081,"Fochabers, Aultmore, Clochan and Ordiquish",Moray,1,"2,428",41.2,,,,,,,,
S02002082,"Heldon West, Fogwatt to Inchberry",Moray,0,"5,199",0.0,,,,,,,,
S02002083,"Lhanbryde, Urquhart, Pitgavney and seaward",Moray,0,"3,386",0.0,,,,,,,,
S02002084,Elgin Cathedral to Ashgrove and Pinefield,Moray,2,"4,200",47.6,,,,,,,,
S02002085,New Elgin East,Moray,0,"3,966",0.0,,,,,,,,
S02002086,New Elgin West,Moray,0,"4,103",0.0,,,,,,,,
S02002087,Elgin Central West,Moray,1,"3,098",32.3,,,,,,,,
S02002088,Elgin Bishopmill East and Ladyhill,Moray,0,"3,296",0.0,,,,,,,,
S02002089,Elgin Bishopmill West and Newfield,Moray,0,"3,141",0.0,,,,,,,,
S02002090,Lossiemouth East and Seatown,Moray,0,"3,393",0.0,,,,,,,,
S02002091,Lossiemouth West,Moray,1,"4,186",23.9,,,,,,,,
S02002092,"Burghead, Roseisle and Laich",Moray,2,"5,512",36.3,,,,,,,,
S02002093,"Findhorn, Kinloss and Pluscarden Valley",Moray,0,"3,816",0.0,,,,,,,,
S02002094,Forres Central East and seaward,Moray,0,"3,680",0.0,,,,,,,,
S02002095,Forres South West and Mannachie,Moray,2,"5,298",37.8,,,,,,,,
S02002096,"Rafford, Dallas, Dyke to Dava",Moray,1,"4,223",23.7,,,,,,,,
S02002097,Arran,North Ayrshire,1,"4,537",22.0,,,,,,,,
S02002098,Springside and Rural,North Ayrshire,1,"2,804",35.7,,,,,,,,
S02002099,Irvine Tarryholme,North Ayrshire,1,"2,824",35.4,,,,,,,,
S02002100,Dreghorn,North Ayrshire,9,"3,498",257.3,,,,,,,,
S02002101,Irvine Broomlands,North Ayrshire,0,"2,739",0.0,,,,,,,,
S02002102,Irvine Bourtreehill,North Ayrshire,0,"2,237",0.0,,,,,,,,
S02002103,Irvine Girdle Toll and Staneca,North Ayrshire,0,"4,215",0.0,,,,,,,,
S02002104,Irvine Perceton and Lawthorn,North Ayrshire,1,"4,889",20.5,,,,,,,,
S02002105,Irvine Castlepark North,North Ayrshire,5,"3,508",142.5,,,,,,,,
S02002106,Irvine Castlepark South,North Ayrshire,1,"3,251",30.8,,,,,,,,
S02002107,Irvine East,North Ayrshire,1,"3,100",32.3,,,,,,,,
S02002108,Irvine Central,North Ayrshire,0,"3,223",0.0,,,,,,,,
S02002109,Irvine Fullarton,North Ayrshire,21,"2,874",730.7,,,,,,,,
S02002110,Stevenston Ardeer,North Ayrshire,1,"3,037",32.9,,,,,,,,
S02002111,Saltcoats Central,North Ayrshire,8,"3,705",215.9,,,,,,,,
S02002112,Ardrossan Central,North Ayrshire,7,"3,069",228.1,,,,,,,,
S02002113,Ardrossan North West,North Ayrshire,2,"3,108",64.4,,,,,,,,
S02002114,Ardrossan North East,North Ayrshire,1,"4,308",23.2,,,,,,,,
S02002115,Saltcoats North West,North Ayrshire,0,"3,529",0.0,,,,,,,,
S02002116,Saltcoats North East,North Ayrshire,2,"5,031",39.8,,,,,,,,
S02002117,Stevenston North West,North Ayrshire,1,"2,789",35.9,,,,,,,,
S02002118,Stevenston Hayocks,North Ayrshire,0,"3,992",0.0,,,,,,,,
S02002119,Kilwinning Whitehirst Park and Woodside,North Ayrshire,1,"4,983",20.1,,,,,,,,
S02002120,Kilwinning Pennyburn,North Ayrshire,1,"2,955",33.8,,,,,,,,
S02002121,Kilwinning West and Blacklands,North Ayrshire,2,"4,235",47.2,,,,,,,,
S02002122,Kilwinning Central and North,North Ayrshire,3,"3,750",80.0,,,,,,,,
S02002123,Dalry East and Rural,North Ayrshire,1,"2,848",35.1,,,,,,,,
S02002124,Dalry West,North Ayrshire,3,"2,908",103.2,,,,,,,,
S02002125,Fairlie and Rural,North Ayrshire,0,"2,761",0.0,,,,,,,,
S02002126,West Kilbride and Seamill,North Ayrshire,5,"4,667",107.1,,,,,,,,
S02002127,Largs South,North Ayrshire,7,"3,662",191.2,,,,,,,,
S02002128,Largs Central and Cumbrae,North Ayrshire,4,"4,759",84.1,,,,,,,,
S02002129,Largs North,North Ayrshire,3,"3,964",75.7,,,,,,,,
S02002130,Skelmorlie and Rural,North Ayrshire,2,"2,933",68.2,,,,,,,,
S02002131,Kilbirnie North,North Ayrshire,0,"3,185",0.0,,,,,,,,
S02002132,Kilbirnie South and Longbar,North Ayrshire,1,"3,918",25.5,,,,,,,,
S02002133,Beith West,North Ayrshire,0,"3,032",0.0,,,,,,,,
S02002134,Beith East and Rural,North Ayrshire,11,"3,913",281.1,,,,,,,,
S02002135,Overtown,North Lanarkshire,2,"3,617",55.3,,,,,,,,
S02002136,Netherton and Kirkhill,North Lanarkshire,2,"3,451",58.0,,,,,,,,
S02002137,Muirhouse,North Lanarkshire,1,"4,180",23.9,,,,,,,,
S02002138,Muirhouse and Knowetop,North Lanarkshire,3,"6,861",43.7,,,,,,,,
S02002139,Craigneuk Wishaw,North Lanarkshire,8,"4,729",169.2,,,,,,,,
S02002140,Pather,North Lanarkshire,2,"3,963",50.5,,,,,,,,
S02002141,Wishaw South,North Lanarkshire,2,"4,888",40.9,,,,,,,,
S02002142,Wishaw North,North Lanarkshire,8,"6,139",130.3,,,,,,,,
S02002143,Coltness,North Lanarkshire,2,"3,809",52.5,,,,,,,,
S02002144,Wishaw East,North Lanarkshire,2,"2,774",72.1,,,,,,,,
S02002145,Newmains,North Lanarkshire,2,"5,501",36.4,,,,,,,,
S02002146,Allanton - Newmains Rural,North Lanarkshire,6,"3,835",156.5,,,,,,,,
S02002147,Shotts,North Lanarkshire,0,"4,347",0.0,,,,,,,,
S02002148,Stane,North Lanarkshire,0,"2,895",0.0,,,,,,,,
S02002149,Harthill and Salsburgh,North Lanarkshire,2,"5,692",35.1,,,,,,,,
S02002150,Cleland,North Lanarkshire,4,"4,994",80.1,,,,,,,,
S02002151,Newarthill,North Lanarkshire,4,"2,989",133.8,,,,,,,,
S02002152,Carfin North,North Lanarkshire,3,"3,957",75.8,,,,,,,,
S02002153,Clydesdale and New Stevenston,North Lanarkshire,1,"3,598",27.8,,,,,,,,
S02002154,Carfin and Cleekhimin,North Lanarkshire,1,"5,407",18.5,,,,,,,,
S02002155,Motherwell South,North Lanarkshire,1,"3,746",26.7,,,,,,,,
S02002156,Ladywell,North Lanarkshire,4,"4,339",92.2,,,,,,,,
S02002157,Motherwell West,North Lanarkshire,0,"4,070",0.0,,,,,,,,
S02002158,Motherwell North,North Lanarkshire,0,"3,041",0.0,,,,,,,,
S02002159,Forgewood,North Lanarkshire,6,"4,786",125.4,,,,,,,,
S02002160,Holytown,North Lanarkshire,4,"5,294",75.6,,,,,,,,
S02002161,Milnwood,North Lanarkshire,5,"4,923",101.6,,,,,,,,
S02002162,Orbiston,North Lanarkshire,2,"4,989",40.1,,,,,,,,
S02002163,Bellshill South,North Lanarkshire,6,"4,632",129.5,,,,,,,,
S02002164,Hattonrigg,North Lanarkshire,8,"2,446",327.1,,,,,,,,
S02002165,Bellshill Central,North Lanarkshire,1,"3,390",29.5,,,,,,,,
S02002166,Fallside,North Lanarkshire,24,"4,952",484.7,,,,,,,,
S02002167,Viewpark,North Lanarkshire,5,"5,698",87.8,,,,,,,,
S02002168,Birkenshaw,North Lanarkshire,6,"4,639",129.3,,,,,,,,
S02002169,Kirkwood and Bargeddie,North Lanarkshire,6,"6,256",95.9,,,,,,,,
S02002170,Kirkshaws,North Lanarkshire,2,"5,901",33.9,,,,,,,,
S02002171,Dundyvan,North Lanarkshire,13,"6,259",207.7,,,,,,,,
S02002172,Drumpellier and Langloan,North Lanarkshire,1,"2,470",40.5,,,,,,,,
S02002173,Coatbridge West,North Lanarkshire,1,"4,061",24.6,,,,,,,,
S02002174,Townhead,North Lanarkshire,5,"4,715",106.0,,,,,,,,
S02002175,Sunnyside and Cliftonville,North Lanarkshire,4,"3,924",101.9,,,,,,,,
S02002176,Cliftonville,North Lanarkshire,4,"2,963",135.0,,,,,,,,
S02002177,Shawhead and Whifflet,North Lanarkshire,3,"3,285",91.3,,,,,,,,
S02002178,Greenend and Carnbroe,North Lanarkshire,4,"6,218",64.3,,,,,,,,
S02002179,Calderbank and Brownsburn,North Lanarkshire,2,"2,368",84.5,,,,,,,,
S02002180,Chapelhall West,North Lanarkshire,1,"2,531",39.5,,,,,,,,
S02002181,Chapelhall East,North Lanarkshire,2,"4,189",47.7,,,,,,,,
S02002182,Craigneuk Airdrie,North Lanarkshire,3,"3,403",88.2,,,,,,,,
S02002183,Petersburn,North Lanarkshire,1,"3,855",25.9,,,,,,,,
S02002184,Gartlea,North Lanarkshire,0,"3,012",0.0,,,,,,,,
S02002185,Cairnhill,North Lanarkshire,2,"4,616",43.3,,,,,,,,
S02002186,Coatdyke and Whinhall,North Lanarkshire,2,"5,632",35.5,,,,,,,,
S02002187,Thrashbush,North Lanarkshire,2,"5,236",38.2,,,,,,,,
S02002188,Airdrie North,North Lanarkshire,6,"5,185",115.7,,,,,,,,
S02002189,Drumgelloch,North Lanarkshire,3,"4,351",68.9,,,,,,,,
S02002190,Caldercruix and Plains,North Lanarkshire,2,"5,939",33.7,,,,,,,,
S02002191,Glenmavis and Greengairs,North Lanarkshire,5,"5,962",83.9,,,,,,,,
S02002192,Gartcosh and Marnock,North Lanarkshire,1,"6,987",14.3,,,,,,,,
S02002193,Cardowan and Millerston,North Lanarkshire,5,"4,948",101.1,,,,,,,,
S02002194,Stepps,North Lanarkshire,0,"3,166",0.0,,,,,,,,
S02002195,Chryston and Muirhead,North Lanarkshire,4,"4,176",95.8,,,,,,,,
S02002196,Moodiesburn West,North Lanarkshire,3,"3,504",85.6,,,,,,,,
S02002197,Moodiesburn East,North Lanarkshire,2,"3,513",56.9,,,,,,,,
S02002198,Westfield,North Lanarkshire,1,"6,363",15.7,,,,,,,,
S02002199,Condorrat,North Lanarkshire,9,"4,622",194.7,,,,,,,,
S02002200,Greenfaulds,North Lanarkshire,3,"3,789",79.2,,,,,,,,
S02002201,Seafar,North Lanarkshire,1,"3,315",30.2,,,,,,,,
S02002202,Cumbernauld Central,North Lanarkshire,3,"4,549",65.9,,,,,,,,
S02002203,Kildrum,North Lanarkshire,4,"3,994",100.2,,,,,,,,
S02002204,Abronhill South,North Lanarkshire,4,"3,766",106.2,,,,,,,,
S02002205,Abronhill North,North Lanarkshire,3,"4,167",72.0,,,,,,,,
S02002206,Village and Castlecary,North Lanarkshire,2,"3,691",54.2,,,,,,,,
S02002207,Carrickstone,North Lanarkshire,4,"4,855",82.4,,,,,,,,
S02002208,Balloch West,North Lanarkshire,0,"3,478",0.0,,,,,,,,
S02002209,Balloch East,North Lanarkshire,5,"2,636",189.7,,,,,,,,
S02002210,Kilsyth East and Croy,North Lanarkshire,10,"8,112",123.3,,,,,,,,
S02002211,Kilsyth Bogside,North Lanarkshire,3,"3,195",93.9,,,,,,,,
S02002212,Balmalloch,North Lanarkshire,4,"3,642",109.8,,,,,,,,
S02002213,"Stromness, Sandwick and Stenness",Orkney Islands,0,"3,194",0.0,,,,,,,,
S02002214,West Mainland,Orkney Islands,0,"4,253",0.0,,,,,,,,
S02002215,East Mainland,Orkney Islands,0,"4,591",0.0,,,,,,,,
S02002216,West Kirkwall,Orkney Islands,1,"3,698",27.0,,,,,,,,
S02002217,East Kirkwall,Orkney Islands,1,"2,346",42.6,,,,,,,,
S02002218,Isles,Orkney Islands,0,"4,188",0.0,,,,,,,,
S02002219,"Powmill, Cleish and Scotlandwell",Perth and Kinross,1,"4,332",23.1,,,,,,,,
S02002220,Kinross,Perth and Kinross,2,"5,000",40.0,,,,,,,,
S02002221,Milnathort and Crook of Devon,Perth and Kinross,2,"3,856",51.9,,,,,,,,
S02002222,"Muthill, Greenloaning and Gleneagles",Perth and Kinross,1,"4,377",22.8,,,,,,,,
S02002223,Auchterarder,Perth and Kinross,3,"4,130",72.6,,,,,,,,
S02002224,"Comrie, Gilmerton and St Fillans",Perth and Kinross,1,"3,838",26.1,,,,,,,,
S02002225,Crieff North,Perth and Kinross,4,"3,079",129.9,,,,,,,,
S02002226,Crieff South,Perth and Kinross,6,"4,102",146.3,,,,,,,,
S02002227,Aberuthven and Almondbank,Perth and Kinross,4,"4,829",82.8,,,,,,,,
S02002228,"Glenfarg, Dunning and Rhynd",Perth and Kinross,1,"4,824",20.7,,,,,,,,
S02002229,Bridge of Earn and Abernethy,Perth and Kinross,4,"5,271",75.9,,,,,,,,
S02002230,Moncrieffe and Friarton,Perth and Kinross,2,"4,069",49.2,,,,,,,,
S02002231,"Viewlands, Craigie and Wellshill",Perth and Kinross,3,"5,777",51.9,,,,,,,,
S02002232,Burghmuir and Oakbank,Perth and Kinross,0,"4,179",0.0,,,,,,,,
S02002233,Western Edge,Perth and Kinross,0,"4,123",0.0,,,,,,,,
S02002234,Letham,Perth and Kinross,0,"5,419",0.0,,,,,,,,
S02002235,"Hillyland, Tulloch and Inveralmond",Perth and Kinross,1,"5,916",16.9,,,,,,,,
S02002236,North Muirton and Old Scone,Perth and Kinross,1,"3,140",31.8,,,,,,,,
S02002237,Muirton,Perth and Kinross,0,"3,633",0.0,,,,,,,,
S02002238,North Inch,Perth and Kinross,6,"2,253",266.3,,,,,,,,
S02002239,Central and South Inch,Perth and Kinross,1,"4,487",22.3,,,,,,,,
S02002240,Gannochy and Walnut Grove,Perth and Kinross,4,"3,632",110.1,,,,,,,,
S02002241,Scone,Perth and Kinross,2,"5,088",39.3,,,,,,,,
S02002242,"Guildtown, Balbeggie and St Madoes",Perth and Kinross,0,"4,086",0.0,,,,,,,,
S02002243,Errol and Inchture,Perth and Kinross,1,"4,234",23.6,,,,,,,,
S02002244,"Invergowrie, Longforgan and Abernyte",Perth and Kinross,3,"3,831",78.3,,,,,,,,
S02002245,Coupar Angus and Meigle,Perth and Kinross,5,"5,232",95.6,,,,,,,,
S02002246,Alyth,Perth and Kinross,0,"3,039",0.0,,,,,,,,
S02002247,"Blair Atholl, Strathardle and Glenshee",Perth and Kinross,1,"4,187",23.9,,,,,,,,
S02002248,Blairgowrie East (Rattray),Perth and Kinross,2,"2,975",67.2,,,,,,,,
S02002249,Blairgowrie West,Perth and Kinross,2,"5,650",35.4,,,,,,,,
S02002250,Stanley and Murthly,Perth and Kinross,2,"4,654",43.0,,,,,,,,
S02002251,Luncarty and Dunkeld,Perth and Kinross,1,"6,142",16.3,,,,,,,,
S02002252,Pitlochry,Perth and Kinross,3,"3,863",77.7,,,,,,,,
S02002253,Rannoch and Aberfeldy,Perth and Kinross,2,"4,703",42.5,,,,,,,,
S02002254,Lochwinnoch,Renfrewshire,3,"2,676",112.1,,,,,,,,
S02002255,Renfrewshire Rural South and Howwood,Renfrewshire,15,"4,023",372.9,,,,,,,,
S02002256,Renfrewshire Rural North and Langbank,Renfrewshire,34,"7,084",480.0,,,,,,,,
S02002257,Kilbarchan,Renfrewshire,4,"3,130",127.8,,,,,,,,
S02002258,Johnstone South West,Renfrewshire,4,"5,650",70.8,,,,,,,,
S02002259,Johnstone North West,Renfrewshire,3,"3,505",85.6,,,,,,,,
S02002260,Johnstone North East,Renfrewshire,6,"3,524",170.3,,,,,,,,
S02002261,Johnstone South East,Renfrewshire,0,"3,679",0.0,,,,,,,,
S02002262,Elderslie and Phoenix,Renfrewshire,7,"5,171",135.4,,,,,,,,
